1,1,2,209
2,2,3,269
3,3,13,174
4,13,14,272
5,14,15,148
6,15,12,511
7,12,11,250
8,11,10,297
9,10,9,289
10,9,8,269
11,8,7,261
12,3,4,220
13,4,5,387
14,5,6,211
15,6,16,185
16,7,16,235
17,16,20,271
18,17,20,112
19,17,18,384
20,18,19,365
21,3,18,1393
22,16,18,584
23,16,17,315
24,5,7,366
25,7,10,680
26,4,15,543
27,4,10,895
28,15,11,518
29,15,10,688
30,4,11,982
31,3,16,1050
32,3,17,1235
33,6,7,165
34,5,9,656
35,5,10,600
36,4,12,971
37,5,15,580
38,5,12,1004
39,5,11,959
40,2,1,209
41,3,2,269
42,13,3,174
43,14,13,272
44,15,14,148
45,12,15,511
46,11,12,250
47,10,11,297
48,9,10,289
49,8,9,269
50,7,8,261
51,4,3,220
52,5,4,387
53,6,5,211
54,16,6,185
55,16,7,235
56,20,16,271
57,20,17,112
58,18,17,384
59,19,18,365
60,18,3,1393
61,18,16,584
62,17,16,315
63,7,5,366
64,10,7,680
65,15,4,543
66,10,4,895
67,11,15,518
68,10,15,688
69,11,4,982
70,16,3,1050
71,17,3,1235
72,7,6,165
73,9,5,656
74,10,5,600
75,12,4,971
76,15,5,580
77,12,5,1004
78,11,5,959
